"Hier wird die Automatische Literaturkritik erklärt: goo.gl/HhmFlJ

Bitte jede Punktvergabe mit Kommentar begründen (außer ganz Offensichtliches wie ""Eltern-Kind-Thematik"")","Roman
Marchel","Kerstin
Preiwuß","Tobias
Sommer","Gertraud
Klemm","Olga
Flor","Karen
Köhler (außer Konkurrenz wegen Windpocken)","Anne-
Kathrin
Heier","Birgit
Pölzl","Senthuran
Varatharajah","Michael
Fehr","Romana
Ganzoni","Katharina
Gericke","Tex
Rubinowitz
(außer
Konkurrenz)","Georg
Petz"
29. plastische Chirurgie,,,,,,,,,,,,,,
30. Vorkommen von Nagetieren,,,,,,,,,,,,,,
31. Natur findet nicht statt,,,1,1,,,,,,,,,,
32. absichtlich unsympathischer Ich-Erzähler,,,,,,,,,,,,,,
33. Teichoskopie,,,,,,,,,,,,,,
34. Dinosaurier,,,,,,,,,,,,,,
35. Raumfahrt,,,,,,,,,,,,,,
36. Schusswaffengebrauch (2 Punkte bei automatischen Waffen),,,,,,,,,,2,,,,
37. Stoffservietten,,,,,,,,,,,,,,
"38. Vögel, die keine Rabenvögel sind",,,,,,1,,,,,1,,1,
"39. Du-Erzähler (Begründung: Autor geht hohes Albernheitsrisiko ein, außerdem wegen Robert O’Connor.)",,,,,,,,,,,,,,
"40. Innere Organe, die nicht das Herz sind",,,,1,,1,,,,,,,1,
41. Cornelia-Travnicek-Pluspunkt: Verstoß gegen Caduff's Law (“es dürfen niemals in kurzer Abfolge drei Dinge groß sein”),,,,,,,,,,,,,,
42. Andreas-Stichmann-Pluspunkt: “Niemand ist tot oder pervers” (auch keine Tiere),,,1,1,,,,,1,1,,,,
43. Wohlwollende Besprechung von Männerkörpern,,,,,,,,,1,,,,,
"44. Tintenfisch, Oktopus (aber nur als Tier, nicht als Mahlzeit)",,,,,,,,,,,,,,
"45. Text spielt in einer Welt, in der es das Internet gibt",,,,,1,1,,,1,,,,1,
"46. Protagonisten kochen. Es sei denn, sie bewältigen dadurch irgendwas.",,,,,,,,,,,,,,
47. Positiv besetzte / unneurotische Mutterrollen,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,
Pluspunkte Bühnenperformance und Jurydiskussion:,,,,,,,,,,,,,,
48. Lastenausgleich: Autor muss als Erster lesen,1,,,,,,,,,,,,,
49. Schnelllesen (> 1200 Zeichen/Minute),,,,,,,,,,,,,,
50. Autor raucht auf der Bühne,,,,,,,,,,,,,,
51. Autor lacht beim Lesen über eigene Witze,,,,,,,,,,,,,,
52. Autor liest wie Hitler (Diktion),,,,,,,,,,1,,,,
"53. Lastenausgleich: Juror versäumt es, den Text seines eigenen Autors über den grünen Klee zu loben (Waisenkind-Trostpunkt) oder kritisiert den Text (2 Waisenkind-Trostpunkte, stilles Gedenken an Eva von Schirach).",,,,,,,,,,,,,,
54. Lastenausgleich: Jury hat Schwierigkeiten mit dem Namen des Autors (Klaus-Blödl-Punkt),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
     Minuspunkte Autorenporträt und Textform:,,,,,,,,,,,,,,
1. Multiple aktuelle Wohnorte in der Biografie (jeder Wohnort > 1 bringt einen Minuspunkt),,,,,,,,,,,,,,
2. Hand im Gesicht auf dem Autorenfoto,,,,,,,,,,,,1,,
"3. Brücken, Flüsse, Seen, Ufer im Autorenporträt",1,,,1,,,,,,,1,1,,
"4. Bahnhöfe, Züge, Gleise, Bahnsteige, Flughäfen, Rolltreppen, Rollbänder, Aufzüge im Autorenporträt",,,,,1,,,,,,,,,
"5. Bücher an Orten drapiert, an denen Bücher nur dann sind, wenn sie von Autorenporträtfilmern dort platziert wurden, 2 Punkte, wenn in Bäumen.",1,,,,1,,,,,,,,,
"6. Haare im Wind, gehende Füße (Großaufnahme) im Autorenporträt, 2 Punkte, wenn in Zeitlupe",,,,,,,,,,,1,1,,
7. Redender Autor vor Bücherregalen,,,,,,,,,,,,,,
"8. Musikinstrumente im Autorenporträt, 2 Punkte, wenn der Autor selber spielt",,,,,,,,,,,,,,
9. Kamera filmt Texte ab im Autorenporträt,,,,,,,,,,,,,,
"10. Überblende-Spielereien im Autorenporträt, zwei Minuspunkte, wenn der Autor dabei verschwindet und anderswo im selben Bild wieder auftaucht",,,,,,,,,,,1,,,
"11. Zeitraffer-Aufnahmen von Menschenmengen, zwei Punkte, wenn der Autor währenddessen unbewegt im Bild steht",,,,,,,,,,,,,,
12. Pantomime / Theater im Autorenporträt,,,,,,,,,,,,1,,
13. Autorenporträt: Beschriebene Seiten werden zerknüllt und/oder weggeworfen und/oder vom Wind davongeweht,,,,,,,,,,,,,,
"14. Autor spricht von sich selbst als ""man""",1,,,,,,,,,,,,,
15. Schreiben als Berufung / Zwang,,,,,,,,,,,,,,1
16. Autorenporträt zeigt den Autor beim Schreiben,,1,,,,,,,,,,,,
"17. Autorenporträt: ""Ich interessiere mich für"" ... ""Abgründe"", ""das Abgründige im Banalen"", ""das Außergewöhnliche im Banalen"", ""das ganz Gewöhnliche"", ""Widersprüche"", ""Sprache"", ""Vokale"", ""Konsonanten"". (die Punkte werden nicht addiert, es kann maximal 1 Punkt erreicht werden)",,,,,,,,,,,,,,
18. Schlechte Typo,,,1,1,1,,,,,,,,,
"19. Nicht mal die Mühe gemacht, die Rechtschreibkorrektur einzuschalten",,,,,,,,,,,,,,1
"20. Privatorthografie, Kleinschreibung etc.",,,,,,,,,1,,,,,
21. Haustiere zur Psychologie missbraucht (Porträt oder Text),1,,,,,,,,,,,,,
"22. Nennung anderer Autorennamen (Belletristik), zwei Punkte, wenn Ingeborg Bachmann (im Text oder im Porträt)",,,,,,,,,,,,,,
"23. Spiegel, Spiegelungen. Zwei Punkte für zerbrochene Spiegel, Brillengläser etc. (im Text oder im Porträt)",1,,,1,,,,,,,1,1,,1
24. Saxophon- oder Akkordeonmusik oder Zupfgeräusche auf Streichinstrumenten im Autorenporträt,,,,,,,,,1,,,,,
25. Versonnen Holz bzw. Pflanzen anfassen (Porträt oder Text),,,,,,,,,,,,,,
"26. Puppen, zwei Punkte für Puppenteile (Text oder Porträt)",,,,,,,,,,,,,,
27. Irgendwas ist irgendwas und irgendwas anderes zugleich,,,,,,,,,,,,,,
28. Labyrinthe (Text oder Autorenporträt),,,,,,,,,1,,,,,
29. Explizite Beschäftigung mit Schatten von Personen (Text oder Autorenporträt),,,,,,,,,,,,,,
30. Haus am Meer (Text oder Autorenporträt),,,,,,,1,,,,,,,
31. Wut und Zärtlichkeit im selben Satz (Porträt oder Text) ,,,,,,,,,,,,,,
"32. Originelle Berufe im Lebenslauf, 2 Punkte, wenn was mit Leichen (Totengräber, Leichenwäscher, Friedhofsgärtner...)",,,,,,,,,,,,,,
"33. Den Leuten im Kaffeehaus zuhören, um sich inspirieren zu lassen",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Minuspunkte Inhalt:,,,,,,,,,,,,,,
"34. Titel im Plural (""Vulkantänze"", ""Sondagen"")",1,,,,,,,,,,,,,
35. Titel mit Satzzeichen drin (Ausnahme: Komma),,,,,,,,,,,,,,
"36. Titel hat mit Inhalt nicht mehr zu tun als nichts, soll aber offensichtlich eine zusätzliche Dimension einbringen, die sich jeder selbst zurechtlegen soll",,,,,,,,,,,,,,
"37. Untertitel (Suada. Fragment. ...) Ausnahmen: ""Erzählung"", ""Novelle""",,,,,,,,,,,,,,
"38. Widmung (für Doris, Mutter etc.)",,,,,,,,,,,,,,
39. Erstes Wort: Adjektiv,,,,,,,,,,1,,,,
40. Erster Absatz: Landschaft oder Wetter,,,,,,,,1,,1,,,,
"41. Vorkommen von
""ungläubig"", ""gewiss"", ""sogleich"", ""somit"", ""urplötzlich"", ""nur allzu"", ""im Begriff sein, etwas zu tun"", ""scheint zu"", ""etwas vermögen"", ""in diesem Moment"", ""Stillstand"" (außer bei Fahrzeugen, Geräten), ""unmerklich"", “nicht enden wollend”, “unbeschreiblich” (“Das Wort ‘unbeschreiblich’ sollte für Schriftsteller verboten werden. Ausnahme: Wörtliche Rede.”, @PeterHellinger bei Twitter), “alles durchdringend”, “windschief”, “fassungslos”, “gen”, “indes”, “mit fester / gebieterischer / irgendeiner Stimme”, “mit festem / gebieterischem / irgendeinem Blick”, “gespielt” (in Wendungen wie “gespielt ungezwungene Gesten”), “betont” (sowohl in “betonte sie” als auch in “betont gleichgültig”) etwas ist “bis zum Zerreißen” gespannt oder straff, “nicht lange fackeln”, “panisch”, “stürzen” (im Sinne von “sich schnell bewegen”, aber auch “sich auf etwas stürzen”, jedoch nicht “hinfallen”), “scheu”, jemand “zerbricht” (2 Punkte, wenn an etwas), “Schaudern”, “nächstgelegen”, “instinktiv”, “gleichwohl”, “grinsen”, etwas “gemahnt an etwas”, es “gibt kein Halten mehr”, “schmerzhaftes Sehnen”, “soeben”, “vernehmen”, “zudem”, “hektisch”, “befindlich”, “etwas fristen”, “hörbar”, “sichtlich”, jemand/etwas wird eines/keines Blickes gewürdigt, “da war es wieder, das wasauchimmer”, “keine Ahnung haben, auf was man sich einlässt” “heillos” jemand “schnappt” sich etwas (Ausnahme: Krokodile ihre Beute o.ä.), “störrische / widerspenstige Haarsträhne”",,,1,,1,,,,,,1,,1,
42. unvollständiger Satzbau als Konzept,,,,,,,,,,,,,,
"43. zur Beschreibung etwaiger Gefühlswelten wird der Ausdruck von Augen oder die Beschaffenheit von Händen bemüht. Auch: sich verfärbende Gesichter, weiß werdende Fingerknöchel, zitternde Hände, an oder hinter der Schläfe oder sonstwo pochende Adern, fiebriger Atem, fiebrige Wangen, Augen werden verdreht, es wird mit den Zähnen geknirscht (außer im Schlaf), wegknickende Knie.",,1,,,1,,,,,,,,,
"44. „Auch dein Vater, der wohlhabende Kommerzienrat, dessen – wie du weißt – einzige Tochter du bist,...“",,,,,,,,,,,,,,
45. Dummheit oder Hysterie einer Frau sind plot-erforderlich,,,,,,,,,,,,,,
"46. Schaffensprozess von Künstlern, außer komplett gescheiterter",,,1,,,,,,,,,,,
"47. Überlegungen des Erzählers (""Doch wie beginnen?"") / Lord-Chandos-Zweifel",,,,,,,1,,,,,,,
48. Handlung basiert auf Lesereise-Erlebnissen oder Aufenthaltsstipendien (in Archangelsk über Engel schreiben),,,,,,,,,,,,,,
"49. Protagonisten heißen Leander, Muriel, Luna, Laura, Lena, Lea (Ausnahme: Kinder)",,,,,,,,,,,,,,
"50. Dialoge wie von Außerirdischen erdacht: ""Aber er sagte doch, er sei nicht dort gewesen!"" - ""Wie redest du mit mir!""",,,1,,1,,,,,,,1,,1
"51. Es kommt Tangomusik oder irgendwas Französisches vor (Chopin, Jean Paul, Jacques Brel oder irgendein Philosoph)",,,,,,,,,,,,,,1
"52. Missglückte Wichtigtuerei (Fremdwörter falsch geschrieben oder ausgesprochen, Fremdsprachen im falschen Zeichensatz etc.)",,,,,,,,,,,,,,
"53. Autor gebärdet sich besonders zeitgemäß durch technischen Zierrat (Dateinamen als Überschriften, Chatprotokolle, Programmcode im Text)",,,,,,,,,1,,,,,
"54. Es wurde schlampig recherchiert in wichtigen Dingen (1 Minuspunkt für jeden Fehler, 2 Minuspunkte, wenn ihn auch die Jury findet)",,,,,,,,,,,,,,
55. Themenkreis: Innenleben einer Schnecke,,,,,,,,,,,,,,
56. Bildungszitat (2 Minuspunkte für Songtextzeilen),,,,,,,,,,,,2,,
"57. Nationalsozialismus, Ostzonen-Tristesse, Folter in Chile",,1,,,,,,,,,,,,1
"58. Götterwelt, griechische, buddhistische oder andere (Kulanz walten lassen bei skurrilen Sekten)",1,,,,,,,1,1,,,,,
"59. Mädchen, die nicht viel sagen, wobei der Erzähler bemerkt, daß dieses Mädchen nie viel sagt oder im entscheidenden Moment nichts gesagt hat, wobei dieser entscheidende Moment in Berlin stattfindet und ersatzweise auch mal ein Junge nicht viel sagt, was gesondert zu vermerken ist, und das Mädchen verschwindet dann, beziehungsweise der Junge.",,,,,,,,,,,,,,
60. Ausführliches Warten an S-Bahn-Haltestellen oder Bahnhofsgleisen. Kalt ist es auch.,,,,,,,,,,,,,,
"61. Mitbewohner und Nachbarn mit auffällig seltsamen Eigenschaften, Berufen, Tätigkeiten, Tieren.  ",,,,,,,,,,,,,,
"62. Beschäftigung mit der Frage, was Schein ist, was Sein",,,,,,,,,,,,,,
"63. Synonyme für ""sagen"", Zusatz-Minuspunkt für Wendungen wie ""gähnte Leander""",,,1,,,1,,,,,,,,
"64. Es wird danach gefragt, wer oder was ""Ich"" sei",,,,,,,,,,,,,,
"65. Vorkommen von Kindern mit Fähigkeiten (Einfühlung, Vernunft, Weisheit)",,,,,,,,,,,,,,
66. Weniger als 4 Punkte pro Seite,,,,1,,,,,,,,,,
67. Kontrast zwischen Stadtleben und Landleben,,,,,,,,,,,,,,
68. Die Erzählperspektive wurde mit Tesa auf eine Flipperkugel geklebt und rast hilflos hin und her,,,,,,,,,,,,,,
69. Häufigstes Wort macht über fünf Prozent aller Wörter aus.,,,,,,,,,,,,,,
"70. Dialekt im Text, 2 Punkte bei inkompetent wiedergegebenem Dialekt",,,,,,,,,,,,,,
71. Parataxenstakkato,,,,,,,,,,,,,,
72. Anaphern-/Epipherngetöse,,,,,,,,,,,,,,
"73. Basare sind farbig, Hengste feurig, Rentner gebrechlich, Zimmerfluchten endlos, die Bergwelt erhaben, Hunde streunen, Inflation grassiert, Latzhosen sind lila, der Sound der Congas ist hypnotisch, etc.",,,,,,,,,,,,,,
"74. Nacherzählung von Märchen, Sagen, Legenden, Filmen",,,,,,,,,,,1,,,
"75. etwas findet ""wie in Zeitlupe"" statt, ""wie im Film"", ""wie in einem schlechten Film"", “wie im Traum”",,,,,,,,,,,,,,
"76. Metaphorische Verwendung von Krankheiten/ Behinderungen, zwei Punkte für Autismus.",,,,,,,,,,,,,,
"77. XY war die erste Frau in meinem Leben, die ...",,,,,,,,,,,,,,
"78. Wissen, wie jemand seinen Kaffee nimmt als Zeichen von Vertrautheit / es nicht wissen als Zeichen von Fremdheit",,,,,,,,,,,,,,
79. Gescheiterter Sex ,,,,,,,,,,,,,1,
"80. Transzendentale Obdachlosigkeit, Unbehaustheit des Menschen: 1 Punkt; falls unter Zuhilfenahme von Hotels erörtert: 2 Punkte",,,,,,,,,,,,,,
"81. Explizite Erwähnung von Uhren, 2 Punkte bei tickenden oder stehengebliebenen Uhren",,,,,,,,,,,,,,
"82. Probleme ließen sich durch Handy/GPS/Google lösen, Autor bleibt eine Begründung schuldig, warum Protagonisten nicht auf diese Idee kommen",,,,,,,,,,,,,,
"83. Text erzählt nach, was dem Autor im Strandurlaub passiert ist. Zwei Punkte, wenn es sich dabei um nichts handelt.",,,,,,,,,,,,,,
"84. es wird auf jemandes Atem gehorcht, Atem geahnt oder an Haaren gerochen, zwei Punkte, wenn es sich um ein Kind handelt",,,,,,,,2,,,,,,
"85. jemand spricht mit sich selbst, um dem Leser seine Motivation oder sonstwas zu erläutern",,,,,,,,,,,,,,
"86. Flugszenen von Mensch und Tier, auch übertragen (ich bin so glücklich, ich könnte davonfliegen), und Flugangstbeschreibung",,,,,,,,,,,,,,
87. Paarbeziehungsthematik ,,,,1,1,1,,,,,,,1,1
"88. Beziehungen als Lebenskatastrophe, ABER ICH KANN NICHT ANDERS ALS IHN LIEBEN",,,,,1,,,,,,,,,
"89. Eltern-Kind-Thematik, 2 Punkte für sterbende Elternteile und sterbende Kinder",2,1,,1,,,,2,1,,1,,,
90. Lokalkolorit aus dem Reiseführer entnommen,,,,,,,,,,,,,,
"91. Wolf-Schneider-Punktabzug für bescheuerte Synonyme (""Destillat"" für Schnaps, ""Gerstensaft"" für Bier, ""weltweites Netz"" für Internet)",,,,,,,,,,,,,,
"92. intransitive als transitive Verben (""es schreibt mich"")",,,,,,,,,,,,,,
"93. Durch Markennamen (Raider/Twix, Geha/Pelikan etc.) soll ""So-war-es""-Reflex beim Leser ausgelöst werden",,,,,,,,,,,,,,
"94. Frauenzeitschriftsthemen (Zellulite, Liebeskummer, Friseurbesuch, Reproduktion) ",,,,1,1,1,,,,,,,,
"95. Jour Fixe (""Jeden Dienstag ..."" ""Immer an meinem Geburtstag ..."")",,,,,,,,,,,,,,
"96. Scheunentorgroße Motivationslücken werden vertuscht durch ""Und weil sie nicht weiß, was sie tun soll ..."", ""aus keinem besonderen Grund"", jemand ""kann nicht anders, als"" etc.",,,,,,,,,,,,,,
"97. Jemand tut etwas, ""wie er/sie es immer tut, wenn er/sie...""",,,,,,,,,,,,,,
"98. Jemand tanzt allein, zwei Punkte, wenn vor dem Spiegel",,,,,,,,,,,,,,
99. Leiden am Widerspruch von Text und Welt ,,,1,,,,,,,,,,,
"100. Karussell, Jahrmarkt, Zirkus, Feuerwerk, Clowns",,,,,,,,,,,,,,
101. nur ein Traum,,,,,,,,,,,,,,
"102. Ein Tier oder Gegenstand gibt am üblichen Aufenthaltsort das übliche Geräusch von sich: In der Ferne bzw. irgendwo bellte ein Hund, im Wald rief ein Käuzchen, im Kamin knackte ein Holz, etc.",,1,,,,,,,,,,,,
"103. Anfang mit ""Im/Am Anfang war ...""",,,,,,,,,,,,,,
"104. Figuren gewinnen ein Eigenleben, Protagonist klingelt plötzlich beim Autor o.ä. (Autorenporträt oder Text)",,,,,,,,,,,,,,
"105. Hilfschecker-Trivia (chinesische Mauer aus dem Weltraum sichtbar, Jahrtausend fängt gar nicht Silvester 2000 an), es sei denn zur Diffamierung des Sprechers eingesetzt (dann Pluspunkt)",,,,,,,,,,,,,,
"106. Psychotherapie, 2 Punkte bei Psychoanalyse",,,,,,,,,,,,,,
"107. Mystifizierung des Schreibens / des Schriftstellerberufs (""Schriftsteller sind fast immer die schlimmsten von allen."") ",,,,,,,,,,,,,,
108. Überlegungen zum Alterungsprozess,1,,,,,,,,,,,,,
109. Waffe liegt ganz knapp außer Reichweite,,,,,,,,,,,,,,
"110. Sex und Lebensmittel im selben Satz (""Mit der anderen Hand, die noch feucht war vom Zwiebelsaft, faßte er ihre Brust, zerrte daran, durch den glatten Stoff der Bluse hindurch, bis sie aufstöhnte."") ",,,,1,,,,,,,,,,
111. Bedeutungshuberei durch Koinzidenzen ,,,,,,,,,,,,,,
"112. grobe Züge, feine Züge ",,,,,,,,,,,,,,
"113. Jemand weint, Zusatzpunkt, wenn der/die Weinende ""merkte, dass ich weinte"", wenn jemand ""endlich weinen kann"" oder ""zum ersten Mal, seit"", Zusatzpunkt, wenn gleichzeitig gelacht und geweint wird (maximal 2 Punkte)",1,1,,,,2,,1,,,,,,
114. Ausrufezeichen außerhalb der wörtlichen Rede,,,,,,,,,,,,,,
115. Frau ohne Eigenschaften,,,,,,,,,,,,,,1
116. Fred war eben Fred,,,,,,,,,,,,,,
"117. Etwas wird ""vergessen"" oder geschieht ""zufällig"" ",,,1,,,,,,,,,,,
118. Krankheiten mit präziser Sterbezeitpunktvorhersage,,,,,,,,,,,,,,
"119. Redundanz (""er drückte mit der Hand die Klinke herunter"", ""sie winkte mich mit einer Handbewegung in ein anderes Zimmer"")",,,,,,,,,,,,,,
"120. Protagonisten heissen A, B, C, ohne nachvollziehbaren Grund, warum Anja, Bruno und Cäcilie nicht ausgeschrieben werden dürfen",,,,,,,,,,,,,,
"121. Titel lautet ""Die Sache mit X"" oder ""Das mit Y""",,,,,,,,,,,,,,
122. Jemand ertappt jemanden beim Sex mit jemand anderem,,,,,,,,,,,,,,
123. Konjunktiv-/Optativgetöse,,,,,,,,,,,,,,
124. Rhetorische Fragen in Titel oder Text,,,1,,,,1,,,,1,,,
"125. Handlung wird mit Glacéhandschuhen angefasst, die an 4 Meter langen Stangen angebracht sind.",,,,,,,,,,,,,,
126. Es ist/war die Zeit der …,,,,,,,,,,,,,,
"127. Jemand gerät in eine Theateraufführung o.ä., weil er auf der Straße ein Flugblatt in die Hand gedrückt bekommen hat. ",,,,,,,,,,,,,,
"128. “Es war nicht dies, es war nicht jenes, es war das”",,,,,,,,,,,,,,
"129. Fenster-als-Augen-Metaphorik, zwei Punkte, wenn explizit ausgesprochen",,,,,,,,,,1,,,,1
"130. Erwachsene Kinder kehren vorübergehend ins Elternhaus / die Heimat zurück, zwei Punkte, wenn anlässlich einer Beerdigung",,,,,,,,,,,,,,
131. Erwähnung von Marseille,,,,,,,,,,,,,,
"132. Iris-Radisch-Punkt “Schmarrn aus gynäkologischen Gründen”, gilt auch für andere anatomische Gründe",,1,,,,,,,,,,,,
"133. Text spielt in den fünfziger Jahren (in den echten oder den fünfziger Jahren des Geistes): Schiffschaukelbremser, Unehelichkeit etc.",,,,,,,,,,,,,,
"134. Unvollkommenheit bei Zähnen als positives Merkmal einer Frau. Erwähnung des Nackens in gleich welchem Zusammenhang (Ausnahme: Nackenkotelett). (“alle körperteile abschaffen, alle! zähne, haare, hautbeschaffenheit, schweiß, alles verbieten! und wimpern!” – mauszfabrick)",,,,,,,,,,,,,,
"135. “das kalte Nass”, “das warme Nass”, “das rote Nass”",,,,,,,,,,,,,,
"136. scheues, schelmisches, überhaupt adjektives Lächeln",,,,,,,,,,,,,,
"137. männliche Sexualität als Anlass für Mitleid, zwei Punkte, wenn das Mitleid explizit benannt wird",,,,,,,,,,,,,,
"138. “inneres Auge” und alle anderen inneren Dinge (“inneres Kind”, “innerer Erwachsener”, “innere Göttin” etc.), auch: “etwas in mir”, “das Kind in mir”, “die Göttin in mir”",,,,,,,,,,,,,,
"139. “zwischen den Beinen”, “zwischen meinen Beinen”, “zwischen seinen Beinen”",,,,,,,,,,,,,,
"140. Daniela-Strigl-Minuspunkt für “Hühnerkopfabtrennungsliteratur”, darunter fällt auch das Aufblasen von Fröschen und das Verbrennen von Insekten mit der Lupe",,1,,,,,,,,,,,,
"141. Jemand macht Geräusche, die an ein Tier oder einen Säugling erinnern / Laute wie ein Tier, etc. ",,,,,,,,,,,,,,
142. es wird nach Abstrakta geduftet (“Freiheit” etc.),,,,,,,,,,,,,,
"143. Taumeln zwischen den Zeiten aus Unbeholfenheit / Versehen (""Trotz allem fühlte sie sich zu Wolfgang hingezogen und sie wollte, dass es wieder so wird, wie es vor diesem Abend gewesen war."")",,,,,,,,,,,,,,
"144. Verstoß gegen das sechste Pioniergebot (""Wir Jungpioniere achten alle arbeitenden Menschen"") durch den Autor oder seine Figuren.",,,,,,,,,,,,,,
145. “Er schob ihren Rock hoch”,,,,,,,,,,,,,,
"146. Unordentliche Bezüge (""er schenkte Lukas immer Dinge, die er niemals gewollt hätte oder die ihn nicht interessierten, und er flüsterte leise ein 'Danke', das leicht enttäuscht klang, wenn er ein Geschenk entgegennahm, auch wenn er dieses noch nicht gesehen hatte ..."")",,1,,,,,,,,,,,,
147. In der Kindheit muss die Schlafzimmertür einen Spalt offenstehen und das Licht im Flur brennen.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Minuspunkte Bühnenperformance und Jurydiskussion:,,,,,,,,,,,,,,
"148. Musikfragmente, Maultrommel, Flöte, Rappen, DJ",,,,,,,,,,,,,,
149. Autor bringt einen Gegenstand mit,,,,,,,,,1,,,,,
"150. Vortragstechnik ""Den Kindern ein Märchen vorlesen""",,,,,,,,,,,1,1,,
"151. Vortragstechnik ""Zementstaub rieselt langsam aus einem Sack""",,,,,,,1,,,,,,,
152. Einbeziehung des Publikums in was auch immer,,,,,,,,,,,,,,
"153. Einmischung in die Jurydiskussion durch Rechtfertigung (""Sehr wohl weiß ich, wie Kuchenbacken geht! Ich hab mich genau informiert!"")",,,,,,,,,,,,,,
154. Der Autor spielt die im Text beschriebenen Gesten im Vortrag selbst mit nach,,,,,,,,,,,,1,,
,,,,,,,,,,,,,,
Pluspunkte Autorenporträt und Textform,4,2,4,4,4,4,4,3,5,3,5,2,3,5
Pluspunkte Inhalt,2,0,2,3,1,4,1,3,5,4,1,1,4,1
Pluspunkte Bühnenperformance und Jurydiskussion,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Pluspunkte insgesamt,7,2,6,7,5,8,5,6,10,8,6,3,7,6
