critic_id,first_name,middle_name,last_name,birth_place,birth_date,gender,country,works_as_critic,is_literary_scholar,is_writer
72,Werner,,Fuld,,,,,,,
73,Wilfrted,,Schoeller,,,,,,,
74,Hans,Christoph,Buch,,,,,,,
75,Andreas,,Isenchmid,,,,,,,
76,Angela,,Preasent,,,,,,,
77,Thomas,,Rothschild,,,,,,,
78,Thomas,,Hettche,,,,,,,
79,Iris,,Radisch,Berlin,1959-07-02,female,Deutschland,True,False,True
80,Ferdinand,,Schmatz,,,,,,,
81,Franz,,Haas,,,,,,,
82,Christoph,,Kuhn,,,,,,,
83,Hardy,,Ruoss,,,,,,,
84,Sabine,,Scholl,,,,,,,
85,Silvia,,Bovenschen,,,,,,,
86,Barbara,,Frischmuth,,,,,,,
87,Ulrike,,Längle,,,,,,,
88,Robert,,Schindel,Bad Hall,1944-04-04,male,Österreich,False,False,True
89,Dieter,,Bachmann,,,,,,,
90,Elisabeth,,Bronfen,München,1958-04-23,female,Deutschland,,True,
91,Denis,,Scheck,Stuttgart,1964-12-15,male,Deutschland,True,True,
92,Burkhard,,Spinnen,Mönchengladbach,1956-12-28,male,Deutschland,True,True,True
93,Pia,,Reinacher,Luzern,1954-07-01,female,Schweiz,True,True,
94,Birgit,,Vanderbeke,Dahme/Mark,1956-08-08,female,Deutschland,,,True
95,Thomas,,Widmer,,1962-07-01,male,Schweiz,True,True,True
96,Josef,,Haslinger,Zwettl,1955-07-05,male,Österreich,,True,True
97,Friederike,,Kretzen,Leverkusen,1956-07-20,female,Deutschland,,False,True
98,Norbert,,Miller,München,1937-05-14,male,Deutschland,,True,
99,Ursula,,März,Herzogenaurach,1957-07-01,female,Deutschland,True,False,True
100,Ilma,,Rakusa,Rimavská Sobota (Slowakei),1946-01-02,female,Schweiz,,True,True
101,Thomas,,Steinfeld,Leverkusen,1954-05-02,male,Deutschland,True,True,True
102,Daniela,,Strigl,Wien,1964-07-01,female,Österreich,True,True,False
103,Heinrich,,Detering,Neumünster,1959-11-01,male,Deutschland,,True,True
104,Martin,,Ebel,Köln,1955-07-01,male,Schweiz,True,,
105,Klaus,,Nüchtern,Linz,1961-11-20,male,Österreich,True,False,True
106,Andre,Vladimir,Heiz,Langenthal,1951-08-27,male,Schweiz,False,True,True
107,Ijoma,,Mangold,Heidelberg,1971-03-02,male,Deutschland,True,False,True
108,Alain,Claude,Sulzer,Riehen,1953-02-17,male,Schweiz,False,False,True
109,Meike,,Feßmann,München,1961-07-01,female,Deutschland,True,False,True
110,Karin,,Fleischanderl,Steyr,1960-12-29,female,Österreich,False,False,True
111,Paul,,Jandl,Wien,1962-07-01,male,Österreich,True,True,False
112,Hildegard,Elisabeth,Keller,St. Gallen,1960-07-01,female,Schweiz,True,True,True
113,Hubert,,Winkels,Gohr bei Düsseldorf,1955-05-13,male,Deutschland,True,True,True
114,Corina,,Caduff,Chur,1965-07-01,female,Schweiz,True,True,True
115,Juri,,Steiner,Lausanne,1969-07-01,male,Schweiz,True,,
116,Stefan,,Gmünder,Bern,1965-07-01,male,Schweiz,True,,
117,Klaus,,Kastberger,Gmunden,1963-04-19,male,Österreich,True,True,
118,Sandra,,Kegel,Frankfurt/Main,1970-09-03,female,Deutschland,True,False,False
119,Michael,,Wiederstein,Gummersbach,1983-07-01,male,Deutschland,True,False,False
120,Nora,,Gomringer,Neunkirchen/Saar,1980-01-26,female,Deutschland,False,False,True
121,Insa,,Wilke,Bremerhaven,1978-07-01,female,Deutschland,True,True,False
122,Brigitte,,Schwens-Harrant,Wels,1967-07-01,female,Österreich,True,True,
123,Philipp,,Tingler,Berlin,1970-07-01,male,Schweiz,True,False,True
124,Arno,,Dusini,Meran,1962-07-01,male,Österreich,False,True,False
